age,gender,ethnicity,priors_count,charge_severity,decile_score,recidivism
69,Male,Other,0,1,1,0
34,Male,African-American,0,1,3,1
24,Male,African-American,4,1,4,1
23,Male,African-American,1,1,8,0
43,Male,Other,2,1,1,0
44,Male,Other,0,0,1,0
41,Male,Caucasian,14,1,6,1
43,Male,Other,3,1,4,0
39,Female,Caucasian,0,0,1,0
21,Male,Caucasian,1,1,3,1
27,Male,Caucasian,0,1,4,0
23,Male,African-American,3,0,6,1
37,Female,Caucasian,0,0,1,0
41,Male,African-American,0,1,4,0
47,Female,Caucasian,1,1,1,1
31,Male,African-American,7,1,3,1
37,Male,Hispanic,0,0,1,0
25,Male,African-American,3,1,10,0
31,Male,Caucasian,6,1,5,1
31,Male,Caucasian,5,1,3,1
64,Male,African-American,13,1,6,1
21,Male,African-American,1,1,9,1
27,Male,Caucasian,0,0,2,1
21,Female,Caucasian,0,1,4,0
24,Male,Hispanic,1,1,4,1
43,Male,Caucasian,1,0,1,0
32,Male,Other,0,0,3,0
27,Male,African-American,8,1,3,1
36,Female,Caucasian,3,1,3,0
26,Male,African-American,5,1,7,1
33,Male,African-American,0,1,10,1
30,Male,Caucasian,9,1,9,1
32,Male,African-American,4,1,8,1
55,Male,Caucasian,0,1,1,0
49,Male,Other,7,1,3,1
26,Male,Caucasian,6,0,8,0
33,Female,Caucasian,4,0,5,1
24,Male,Caucasian,1,0,2,1
34,Male,African-American,21,1,9,1
29,Male,Caucasian,0,0,2,0
21,Female,African-American,2,1,8,0
51,Male,African-American,2,0,1,0
29,Male,Caucasian,2,0,2,1
51,Female,African-American,7,1,2,0
29,Male,African-American,0,1,7,1
25,Male,Caucasian,9,0,10,1
35,Male,African-American,13,1,8,1
49,Male,Caucasian,0,0,1,0
34,Male,African-American,4,0,3,1
29,Male,African-American,0,1,4,0
29,Male,Caucasian,1,1,2,1
28,Female,Other,0,1,2,0
48,Male,Caucasian,20,1,6,1
63,Female,Hispanic,1,1,1,0
31,Male,African-American,15,1,5,0
24,Male,African-American,2,1,4,1
